,full_name,inch_height,weight,tar_gm,rec_gm,car_gm,ay_per_targ,cluster,joined_name
0,DeAndre Hopkins,73.0,212.0,10.0,7.19,0.062,8.86,3,DeAndre Hopkins
1,Larry Fitzgerald,75.0,218.0,5.54,4.15,0.0,6.0,5,Larry Fitzgerald
2,Christian Kirk,71.0,200.0,5.64,3.43,0.143,11.84,4,Christian Kirk
3,Calvin Ridley,73.0,190.0,9.53,6.0,0.333,14.35,0,Calvin Ridley
4,Julio Jones,75.0,220.0,7.56,5.67,0.0,11.24,0,Julio Jones
5,Russell Gage,72.0,184.0,6.81,4.5,0.125,8.5,1,Russell Gage
6,Marquise Brown,69.0,170.0,6.44,3.83,0.167,13.4,4,Marquise Brown
7,Stefon Diggs,72.0,191.0,10.37,7.74,0.053,10.89,3,Stefon Diggs
8,John Brown,71.0,179.0,5.92,3.58,0.0,12.0,4,John Brown
9,Cole Beasley,68.0,174.0,6.94,5.33,0.0,7.55,1,Cole Beasley
10,Robby Anderson,75.0,190.0,8.5,5.94,0.25,9.69,0,Robby Anderson
11,Curtis Samuel,71.0,195.0,6.47,5.13,2.733,7.33,2,Curtis Samuel
12,D.J. Moore,71.0,215.0,7.87,4.4,0.133,13.23,0,D.J. Moore
13,Darnell Mooney,71.0,172.0,6.12,3.81,0.25,11.51,4,Darnell Mooney
14,Allen Robinson,74.0,220.0,9.29,6.35,0.059,9.51,3,Allen Robinson
15,A.J. Green,76.0,210.0,6.5,2.94,0.0,13.72,5,A.J. Green
16,Tee Higgins,76.0,210.0,7.2,4.47,0.333,11.49,0,Tee Higgins
17,Tyler Boyd,74.0,203.0,7.33,5.27,0.333,8.55,0,Tyler Boyd
18,Jarvis Landry,71.0,196.0,7.0,4.94,0.235,7.63,1,Jarvis Landry
19,Amari Cooper,73.0,211.0,8.12,5.75,0.375,8.81,0,Amari Cooper
20,Michael Gallup,73.0,200.0,6.56,3.69,0.0,11.78,4,Michael Gallup
21,CeeDee Lamb,74.0,189.0,6.94,4.62,0.625,9.29,0,CeeDee Lamb
22,Jerry Jeudy,73.0,192.0,7.06,3.25,0.0,13.53,4,Jerry Jeudy
23,Tim Patrick,76.0,212.0,5.27,3.4,0.0,12.48,5,Tim Patrick
24,Marvin Jones,74.0,198.0,7.19,4.75,0.0,12.7,0,Marvin Jones
25,Davante Adams,73.0,215.0,10.88,8.31,0.0,8.3,3,Davante Adams
26,Allen Lazard,77.0,227.0,5.0,3.33,0.167,10.9,5,Allen Lazard
27,Will Fuller,72.0,184.0,6.82,4.82,0.091,12.53,4,Will Fuller
28,Brandin Cooks,70.0,183.0,7.93,5.4,0.0,11.79,1,Brandin Cooks
29,T.Y. Hilton,70.0,183.0,6.12,3.62,0.0,12.72,4,T.Y. Hilton
30,Michael Pittman,76.0,220.0,5.07,3.21,0.286,8.11,5,Michael Pittman
31,Keelan Cole,73.0,194.0,5.5,3.44,0.062,10.88,4,Keelan Cole
32,Laviska Shenault,74.0,220.0,5.64,4.14,1.286,6.24,2,Laviska Shenault
33,D.J. Chark,76.0,198.0,7.15,4.08,0.0,13.98,5,D.J. Chark
34,Sammy Watkins,73.0,211.0,5.09,3.45,0.091,8.12,5,Sammy Watkins
35,Tyreek Hill,70.0,185.0,9.22,6.17,0.944,12.33,1,Tyreek Hill
36,Robert Woods,72.0,193.0,8.17,5.67,1.389,6.68,2,Robert Woods
37,Cooper Kupp,74.0,208.0,8.31,6.0,0.25,7.09,3,Cooper Kupp
38,Josh Reynolds,75.0,196.0,5.0,3.24,0.059,10.98,5,Josh Reynolds
39,Keenan Allen,74.0,211.0,10.5,7.14,0.071,7.16,3,Keenan Allen
40,Mike Williams,76.0,218.0,6.07,3.43,0.071,14.54,5,Mike Williams
41,Nelson Agholor,72.0,198.0,5.12,3.0,0.0,15.48,4,Nelson Agholor
42,DeVante Parker,75.0,216.0,7.36,4.5,0.0,9.73,0,DeVante Parker
43,Adam Thielen,74.0,200.0,7.2,4.93,0.2,11.47,0,Adam Thielen
44,Justin Jefferson,75.0,192.0,7.81,5.5,0.062,11.44,0,Justin Jefferson
45,Damiere Byrd,69.0,180.0,5.5,3.36,0.143,11.45,4,Damiere Byrd
46,Jakobi Meyers,74.0,200.0,6.75,4.92,0.167,10.2,0,Jakobi Meyers
47,Michael Thomas,75.0,212.0,7.33,5.0,0.111,9.32,0,Michael Thomas
48,Emmanuel Sanders,71.0,180.0,5.88,4.31,0.062,8.59,1,Emmanuel Sanders
49,Darius Slayton,73.0,190.0,6.0,3.12,0.125,13.57,4,Darius Slayton
50,Sterling Shepard,70.0,201.0,7.5,5.5,0.5,8.29,1,Sterling Shepard
51,Jamison Crowder,69.0,177.0,7.42,4.92,0.083,7.56,1,Jamison Crowder
52,Breshad Perriman,74.0,215.0,5.0,2.5,0.083,15.1,5,Breshad Perriman
53,Travis Fulgham,74.0,215.0,5.58,3.17,0.0,11.99,5,Travis Fulgham
54,Chase Claypool,76.0,227.0,6.82,3.94,0.588,13.01,5,Chase Claypool
55,Diontae Johnson,70.0,181.0,10.0,6.19,0.188,8.27,1,Diontae Johnson
56,JuJu Smith-Schuster,73.0,215.0,8.65,6.47,0.0,6.1,3,JuJu Smith-Schuster
57,Tyler Lockett,70.0,182.0,8.0,6.0,0.0,10.07,1,Tyler Lockett
58,DK Metcalf,76.0,230.0,8.24,5.18,0.0,14.03,0,DK Metcalf
59,Brandon Aiyuk,73.0,206.0,8.0,5.0,0.5,9.4,0,Brandon Aiyuk
60,Chris Godwin,73.0,209.0,7.25,5.06,0.062,10.33,0,Chris Godwin
61,Antonio Brown,70.0,185.0,6.73,4.82,0.273,9.11,1,Antonio Brown
62,Mike Evans,77.0,231.0,6.55,4.05,0.0,13.31,5,Mike Evans
63,Corey Davis,75.0,209.0,6.27,4.33,0.0,11.62,5,Corey Davis
64,A.J. Brown,72.0,226.0,7.73,5.07,0.0,10.94,0,A.J. Brown
65,Terry McLaurin,72.0,210.0,8.81,5.81,0.125,9.72,3,Terry McLaurin
66,Cam Sims,77.0,214.0,5.08,3.25,0.083,11.2,5,Cam Sims
